Date,ID,Case Number,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
2014-08-21 20:30:00,9747397.0,HX397282,074XX S SOUTH SHORE DR,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,0.0,0.0,334.0,3.0,7.0,43.0,26,1195750.0,1856581.0,2014.0,08/28/2014 12:40:58 PM,41.761353269,-87.558116626,"(41.761353269, -87.558116626)"
2014-08-21 21:00:00,9747618.0,HX397319,046XX N CLIFTON AVE,0560,ASSAULT,SIMPLE,RESIDENCE,0.0,0.0,1913.0,19.0,46.0,3.0,08A,1167718.0,1930898.0,2014.0,08/28/2014 12:40:58 PM,41.965932616,-87.658715337,"(41.965932616, -87.658715337)"
2014-08-21 21:30:00,9748071.0,HX397766,028XX N FRANCISCO AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,0.0,0.0,1411.0,14.0,35.0,21.0,05,1156590.0,1918910.0,2014.0,08/28/2014 12:40:58 PM,41.933269911,-87.699956606,"(41.933269911, -87.699956606)"
2014-08-21 22:00:00,9765397.0,HX415224,015XX N DAMEN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,0.0,0.0,1424.0,14.0,1.0,24.0,14,1162738.0,1910472.0,2014.0,09/05/2014 12:35:08 PM,41.909988627,-87.677600256,"(41.909988627, -87.677600256)"
2014-08-21 22:30:00,9747498.0,HX397365,060XX S SPAULDING AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,0.0,0.0,823.0,8.0,16.0,66.0,14,1155465.0,1864445.0,2014.0,08/28/2014 12:40:58 PM,41.783834653,-87.705554399,"(41.783834653, -87.705554399)"
2014-08-21 23:00:00,9748804.0,HX397522,006XX W CORNELIA AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,0.0,0.0,1925.0,19.0,46.0,6.0,05,1170996.0,1923504.0,2014.0,08/28/2014 12:40:58 PM,41.945571786,-87.646880617,"(41.945571786, -87.646880617)"
2014-08-21 23:30:00,9748632.0,HX398360,007XX W MONTROSE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,1.0,1.0,1915.0,19.0,46.0,3.0,08B,1170314.0,1929392.0,2014.0,10/31/2014 03:20:56 PM,41.961743622,-87.649214622,"(41.961743622, -87.649214622)"
2014-08-22 00:00:00,9747519.0,HX397399,119XX S PRINCETON AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,1.0,0.0,522.0,5.0,34.0,53.0,18,1176387.0,1825861.0,2014.0,08/29/2014 12:36:48 PM,41.677510357,-87.630002751,"(41.677510357, -87.630002751)"
2014-08-22 00:30:00,9747560.0,HX397439,026XX N ELSTON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT/GARAGE(NON.RESID.),1.0,1.0,1432.0,14.0,1.0,22.0,08B,1160777.0,1917685.0,2014.0,10/31/2014 03:20:56 PM,41.929822521,-87.684603724,"(41.929822521, -87.684603724)"
2014-08-22 01:00:00,9747887.0,HX397658,050XX S RACINE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0.0,0.0,933.0,9.0,16.0,61.0,07,1169139.0,1871254.0,2014.0,08/29/2014 12:36:48 PM,41.802234434,-87.655223494,"(41.802234434, -87.655223494)"
2014-08-22 01:30:00,9749164.0,HX398566,028XX E 97TH ST,0810,THEFT,OVER $500,STREET,0.0,0.0,431.0,4.0,10.0,51.0,06,1197034.0,1841148.0,2014.0,08/29/2014 12:36:48 PM,41.718972059,-87.553923045,"(41.718972059, -87.553923045)"
2014-08-22 02:00:00,9748079.0,HX397854,048XX W WASHINGTON BLVD,0820,THEFT,$500 AND UNDER,STREET,0.0,0.0,1532.0,15.0,28.0,25.0,06,1143864.0,1900100.0,2014.0,08/29/2014 12:36:48 PM,41.881901689,-87.74719656,"(41.881901689, -87.74719656)"
2014-08-22 02:30:00,9747629.0,HX397488,050XX W SCHOOL ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,1.0,1.0,1634.0,16.0,38.0,15.0,26,1142072.0,1921508.0,2014.0,10/31/2014 03:20:56 PM,41.940680994,-87.753245183,"(41.940680994, -87.753245183)"
2014-08-22 03:00:00,9747732.0,HX397616,002XX E 90TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0.0,0.0,633.0,6.0,6.0,44.0,14,1179411.0,1845395.0,2014.0,08/29/2014 12:36:48 PM,41.731046043,-87.618340384,"(41.731046043, -87.618340384)"
2014-08-22 03:30:00,9750618.0,HX400911,007XX W 77TH ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,0.0,0.0,621.0,6.0,17.0,71.0,05,1172478.0,1853843.0,2014.0,08/29/2014 12:36:48 PM,41.754383705,-87.643490263,"(41.754383705, -87.643490263)"
2014-08-22 04:00:00,9752980.0,HX397832,076XX S COLES AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),0.0,1.0,421.0,6.0,7.0,43.0,14,1184367.0,1850693.0,2014.0,08/29/2014 12:36:48 PM,41.745469924,-87.600019593,"(41.745469924, -87.600019593)"
2014-08-22 04:30:00,9747686.0,HX397512,0000X E HUBBARD ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,0.0,0.0,1834.0,18.0,42.0,8.0,03,1176624.0,1903369.0,2014.0,10/31/2014 03:20:56 PM,41.890195026,-87.626804074,"(41.890195026, -87.626804074)"
2014-08-22 05:00:00,9748005.0,HX397526,105XX S VINCENNES AVE,0560,ASSAULT,SIMPLE,RESIDENCE,0.0,0.0,2212.0,22.0,19.0,72.0,08A,1168749.0,1834968.0,2014.0,08/29/2014 12:36:48 PM,41.702669166,-87.657698809,"(41.702669166, -87.657698809)"
2014-08-22 05:30:00,9760544.0,HX397521,0000X W TERMINAL ST,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,0.0,0.0,1651.0,16.0,41.0,76.0,26,1100317.0,1935189.0,2014.0,10/31/2014 03:20:56 PM,41.978896531,-87.906463888,"(41.978896531, -87.906463888)"
2014-08-22 06:00:00,9748738.0,HX398382,025XX S MILLARD AVE,0820,THEFT,$500 AND UNDER,STREET,0.0,0.0,1013.0,10.0,22.0,30.0,06,1152403.0,1886917.0,2014.0,08/29/2014 12:36:48 PM,41.845561717,-87.71618922,"(41.845561717, -87.71618922)"
2014-08-22 06:30:00,9747719.0,HX397554,002XX S CENTRAL AVE,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,STREET,0.0,0.0,1522.0,15.0,29.0,25.0,03,1139138.0,1898257.0,2014.0,08/29/2014 12:36:48 PM,41.876931518,-87.764595453,"(41.876931518, -87.764595453)"
2014-08-22 07:00:00,9760197.0,HX410253,064XX N RAVENSWOOD AVE,0620,BURGLARY,UNLAWFUL ENTRY,WAREHOUSE,0.0,0.0,2432.0,24.0,40.0,1.0,05,1163229.0,1942743.0,2014.0,10/31/2014 03:20:56 PM,41.998531516,-87.674885676,"(41.998531516, -87.674885676)"
2014-08-22 07:30:00,9752053.0,HX402261,025XX W HARRISON ST,0820,THEFT,$500 AND UNDER,STREET,0.0,0.0,1135.0,11.0,2.0,28.0,06,1159798.0,1897325.0,2014.0,08/29/2014 12:36:48 PM,41.873973297,-87.68876344,"(41.873973297, -87.68876344)"
2014-08-22 08:00:00,9752890.0,HX397759,020XX E 78TH ST,0810,THEFT,OVER $500,STREET,0.0,0.0,414.0,4.0,8.0,43.0,06,1190924.0,1853609.0,2014.0,08/29/2014 12:36:48 PM,41.753315834,-87.575899891,"(41.753315834, -87.575899891)"
2014-08-22 08:30:00,9748658.0,HX398363,020XX W MOFFAT ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,0.0,0.0,1434.0,14.0,32.0,22.0,05,1162275.0,1912496.0,2014.0,08/29/2014 12:36:48 PM,41.915552327,-87.679244425,"(41.915552327, -87.679244425)"
2014-08-22 09:00:00,9862850.0,HX512581,092XX S STONY ISLAND AVE,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",OTHER,0.0,0.0,413.0,4.0,8.0,48.0,11,1188371.0,1843867.0,2014.0,11/20/2014 12:39:55 PM,41.72664412,-87.585565739,"(41.72664412, -87.585565739)"
2014-08-22 09:30:00,9749286.0,HX399051,017XX W 89TH ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,0.0,0.0,2221.0,22.0,21.0,71.0,05,1166267.0,1845703.0,2014.0,08/29/2014 12:36:48 PM,41.732180772,-87.66648282,"(41.732180772, -87.66648282)"
2014-08-22 10:00:00,9752262.0,HX402112,021XX N KEDZIE BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0.0,0.0,1413.0,14.0,26.0,22.0,14,1154645.0,1914361.0,2014.0,10/31/2014 03:20:56 PM,41.920826302,-87.707226443,"(41.920826302, -87.707226443)"
2014-08-22 10:30:00,9748479.0,HX397868,066XX S CHAMPLAIN AVE,0460,BATTERY,SIMPLE,STREET,0.0,0.0,321.0,3.0,20.0,42.0,08B,1181663.0,1861327.0,2014.0,08/29/2014 12:36:48 PM,41.774713534,-87.609599614,"(41.774713534, -87.609599614)"
